100
19	861
178	258
476	773
589	160
35	754
876	166
284	691
115	596
56	807
237	980
205	924
147	982
569	731
674	132
743	389
217	143
507	67
488	719
238	471
651	148
962	270
291	380
563	486
690	436
468	777
713	508
428	656
732	508
225	837
45	539
698	555
408	558
455	367
510	390
817	200
906	967
376	726
417	317
665	121
252	818
423	423
565	555
853	901
564	713
682	662
551	466
574	601
953	84
738	826
172	219
382	223
813	412
961	213
372	218
232	691
441	157
991	269
559	230
703	532
858	143
470	851
550	101
844	77
70	235
519	477
629	964
355	447
796	727
486	538
975	278
106	144
294	168
768	390
862	759
849	791
990	347
153	277
747	509
757	584
702	168
794	121
557	419
357	845
933	247
675	635
937	161
857	587
105	85
731	58
739	327
461	743
495	846
233	384
929	397
99	834
479	372
753	112
147	350
985	875
693	777
